"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34698","UI. Пользователь не может выполнить перевод без указания счета получателя","","2026-08-06","passed","2026-08-06","","ui.iteration_2.TransferFundsTest","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutReceiverAccountNumberTest"
"","14046","API. Авторизованный пользователь может перевести валидную сумму между своими счетами [3] transferAmount=0.02","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountBetweenTheirAccountsTest"
"","3350","API. Администратор не может создать пользователя с невалидными данными [7] userDto=CreateUserRequestDto(username=testX2p, password=passworD$, role=USER), errorKey=password, errorValues=[Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","12022","API. Авторизованный пользователь не может изменить имя в профиле на невалидное [6] updateUserDto=UpdateUserRequestDto(name=Mikhail Nepomnyaschikh )","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidName"
"","25358","API. Авторизованный пользователь не может перевести валидную сумму с несуществующего счета на счет другого пользователя","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferFundsFromNonExistingAccountTest"
"","1218","API. Администратор может авторизоваться","","2026-08-06","passed","2026-08-06","","api.iteration_1.LoginUserTest","api.iteration_1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","12815","API. Авторизованный пользователь не может пополнить счет другого пользователя","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAnotherUserAccountTest"
"","13924","API. Авторизованный пользователь может перевести валидную сумму между своими счетами [2] transferAmount=9999.99","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountBetweenTheirAccountsTest"
"","17132","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя [3] transferAmount=0.02","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","56177","UI. Пользователь не может выполнить перевод без указания счета отправителя","","2026-08-06","passed","2026-08-06","","ui.iteration_2.TransferFundsTest","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutSenderAccountNumberTest"
"","5759","API. Авторизованный пользователь не может изменить имя в профиле на невалидное [1] updateUserDto=UpdateUserRequestDto(name=Mikhail)","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidName"
"","5635","API. Авторизованный пользователь не может изменить имя в профиле на невалидное [5] updateUserDto=UpdateUserRequestDto(name=Mikhail  Nepomnyaschikh)","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidName"
"","27938","UI. Пользователь не может пополнить свой счет с невалидной суммой [2] invalidAmount=0, errorMessage=❌ Please enter a valid amount.","","2026-08-06","passed","2026-08-06","","ui.iteration_2.DepositAccountTest","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithInvalidAmountTest"
"","2297","API. Администратор не может создать пользователя с невалидными данными [5] userDto=CreateUserRequestDto(username=testX2p, password=, role=USER), errorKey=password, errorValues=[Password cannot be blank, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","18755","UI. Пользователь может выполнить перевод на счет другого пользователя","","2026-08-06","passed","2026-08-06","","ui.iteration_2.TransferFundsTest","ui.iteration_2.TransferFundsTest","userCanTransferFundsToAnotherUserAccountTest"
"","42175","UI. Пользователь может пополнить свой счет с валидной суммой","","2026-08-06","passed","2026-08-06","","ui.iteration_2.DepositAccountTest","ui.iteration_2.DepositAccountTest","userCanDepositAccountTest"
"","13792","UI. Пользователь может авторизоваться с валидными данными","","2026-08-06","passed","2026-08-06","","ui.iteration_1.LoginUserTest","ui.iteration_1.LoginUserTest","userCanLoginWithCorrectDataTest"
"","10540","API. Авторизованный пользователь не может изменить имя в профиле на невалидное [2] updateUserDto=UpdateUserRequestDto(name=Nepomnyaschikh Mikhail Aleksandrovich)","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidName"
"","22126","UI. Пользователь не может пополнить свой счет без указания номера счета","","2026-08-06","passed","2026-08-06","","ui.iteration_2.DepositAccountTest","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithoutAccountNumberTest"
"","1841","API. Администратор не может создать пользователя с невалидными данными [2] userDto=CreateUserRequestDto(username=ab, password=test$X2p, role=USER), errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","7155","API. Авторизованный пользователь не может изменить имя в профиле на невалидное [7] updateUserDto=UpdateUserRequestDto(name= Mikhail)","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidName"
"","11135","API. Пользователь без прав администратора не может создать пользователя","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","userWithoutAdminPermissionsCannotCreateUserTest"
"","28103","UI. Пользователь может создать аккаунт","","2026-08-06","passed","2026-08-06","","ui.iteration_1.CreateAccountTest","ui.iteration_1.CreateAccountTest","userCanCreateAccountTest"
"","12308","API. Авторизованный пользователь может изменить имя в профиле на валидное","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCanSetValidName"
"","13617","UI. Администратор может авторизоваться с валидными данными","","2026-08-06","passed","2026-08-06","","ui.iteration_1.LoginUserTest","ui.iteration_1.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","7311","API. Авторизованный пользователь не может пополнить счет невалидной суммой [1] depositAmount=5000.01, errorMessage=Deposit amount cannot exceed 5000","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAccountWithInvalidAmountTest"
"","41556","UI. Пользователь не может пополнить свой счет без указания суммы","","2026-08-06","passed","2026-08-06","","ui.iteration_2.DepositAccountTest","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithoutAmountTest"
"","16647","API. Неавторизованный пользователь не может перевести валидную сумму на счет другого пользователя","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","unauthorizedUserCannotTransferFundsTest"
"","8476","API. Администратор не может создать пользователя с уже существующим username","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithExistingUsernameTest"
"","22665","UI. Пользователь не может выполнить перевод с невалидной суммой","","2026-08-06","passed","2026-08-06","","ui.iteration_2.TransferFundsTest","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithInvalidAmountTest"
"","16550","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя [4] transferAmount=0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","17669","API. Авторизованный пользователь не может перевести сумму превышающую баланс на счет другого пользователя","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferAmountExceedingAccountBalanceTest"
"","6651","API. Авторизованный пользователь не может пополнить счет невалидной суммой [2] depositAmount=0, errorMessage=Deposit amount must be at least 0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAccountWithInvalidAmountTest"
"","38313","UI. Администратор может создать пользователя","","2026-08-06","passed","2026-08-06","","ui.iteration_1.CreateUserTest","ui.iteration_1.CreateUserTest","adminCanCreateUserTest"
"","12659","API. Авторизованный пользователь может перевести валидную сумму между своими счетами [4] transferAmount=0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountBetweenTheirAccountsTest"
"","12911","API. Авторизованный пользователь может перевести валидную сумму между своими счетами [1] transferAmount=10000.0","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountBetweenTheirAccountsTest"
"","4412","API. Администратор не может создать пользователя с невалидными данными [4] userDto=CreateUserRequestDto(username=abc1$, password=test$X2p, role=USER), errorKey=username, errorValues=[Username must contain only letters, digits, dashes, underscores, and dots]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","7057","API. Авторизованный пользователь может пополнить счет [2] depositAmount=4999.99","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","11581","API. Пользователь может авторизоваться","","2026-08-06","passed","2026-08-06","","api.iteration_1.LoginUserTest","api.iteration_1.LoginUserTest","userCanGenerateAuthTokenTest"
"","7816","API. Авторизованный пользователь может пополнить счет [1] depositAmount=5000.0","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","15171","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя [1] transferAmount=10000.01, errorMessage=Transfer amount cannot exceed 10000","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","13337","API. Авторизованный пользователь может пополнить счет [3] depositAmount=0.02","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","27902","UI. Пользователь может изменить имя в профиле","","2026-08-06","passed","2026-08-06","","ui.iteration_2.UpdateCustomerProfileTest","ui.iteration_2.UpdateCustomerProfileTest","userCanSetValidNameInProfileTest"
"","18300","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя [1] transferAmount=10000.0","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","20496","API. Авторизованный пользователь может перевести валидную сумму на счет другого пользователя [2] transferAmount=9999.99","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCanTransferValidAmountToAnotherUserAccountTest"
"","30697","UI. Пользователь не может изменить имя в профиле на невалидное","","2026-08-06","passed","2026-08-06","","ui.iteration_2.UpdateCustomerProfileTest","ui.iteration_2.UpdateCustomerProfileTest","userCannotSetInvalidNameInProfileTest"
"","13424","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами [1] transferAmount=10000.01, errorMessage=Transfer amount cannot exceed 10000","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","54008","UI. Пользователь не может выполнить перевод без указания суммы","","2026-08-06","passed","2026-08-06","","ui.iteration_2.TransferFundsTest","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutAmountTest"
"","13608","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами [2] transferAmount=0, errorMessage=Transfer amount must be at least 0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","4273","API. Администратор может создать пользователя с валидными данными [1] userDto=CreateUserRequestDto(username=User_f30321c2, password=Hv6$AHIp*pnJ, role=USER)","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","46774","UI. Пользователь не может пополнить свой счет с невалидной суммой [1] invalidAmount=5000.01, errorMessage=❌ Please deposit less or equal to 5000$.","","2026-08-06","passed","2026-08-06","","ui.iteration_2.DepositAccountTest","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithInvalidAmountTest"
"","32307","UI. Администратор не может создать пользователя с невалидными данными","","2026-08-06","passed","2026-08-06","","ui.iteration_1.CreateUserTest","ui.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","5608","API. Администратор не может создать пользователя с невалидными данными [11] userDto=CreateUserRequestDto(username=testX2p, password=pass worD1$, role=USER), errorKey=password, errorValues=[Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","2818","API. Администратор не может создать пользователя с невалидными данными [10] userDto=CreateUserRequestDto(username=testX2p, password=passworD1, role=USER), errorKey=password, errorValues=[Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","11287","API. Авторизованный пользователь может пополнить счет [4] depositAmount=0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCanDepositAccountTest"
"","8153","API. Авторизованный пользователь не может пополнить несуществующий счет","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositNonExistingAccountTest"
"","38566","UI. Пользователь может выполнить перевод между своими счетами","","2026-08-06","passed","2026-08-06","","ui.iteration_2.TransferFundsTest","ui.iteration_2.TransferFundsTest","userCanTransferFundsBetweenTheirAccountsTest"
"","1583","API. Неавторизованный пользователь не может создать пользователя","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","unauthorizedUserCannotCreateUserTest"
"","3043","API. Администратор не может создать пользователя с невалидными данными [9] userDto=CreateUserRequestDto(username=testX2p, password=password$1, role=USER), errorKey=password, errorValues=[Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","7614","API. Администратор может создать пользователя с валидными данными [2] userDto=CreateUserRequestDto(username=User_bc322500, password=Kj2$Dwt6iIE@, role=ADMIN)","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCanCreateUserWithValidDataTest"
"","1405","API. Администратор не может создать пользователя с невалидными данными [8] userDto=CreateUserRequestDto(username=testX2p, password=PASSWORD$1, role=USER), errorKey=password, errorValues=[Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","17998","API. Авторизованный пользователь не может перевести невалидную сумму между своими счетами [3] transferAmount=-0.01, errorMessage=Transfer amount must be at least 0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountBetweenTheirAccountsTest"
"","47751","UI. Пользователь не может пополнить свой счет с невалидной суммой [3] invalidAmount=-0.01, errorMessage=❌ Please enter a valid amount.","","2026-08-06","passed","2026-08-06","","ui.iteration_2.DepositAccountTest","ui.iteration_2.DepositAccountTest","userCannotDepositAccountWithInvalidAmountTest"
"","3494","API. Администратор не может создать пользователя с невалидными данными [12] userDto=CreateUserRequestDto(username=testX2p, password=test$X2p, role=TEST), errorKey=role, errorValues=[Role must be either 'ADMIN' or 'USER']","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","2317","API. Администратор не может создать пользователя с невалидными данными [3] userDto=CreateUserRequestDto(username=qwertyuiopasdfgh, password=test$X2p, role=USER), errorKey=username, errorValues=[Username must be between 3 and 15 characters]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","5310","API. Авторизованный пользователь не может пополнить счет невалидной суммой [3] depositAmount=-0.01, errorMessage=Deposit amount must be at least 0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","authorizedUserCannotDepositAccountWithInvalidAmountTest"
"","14013","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя [2] transferAmount=0, errorMessage=Transfer amount must be at least 0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","10547","API. Авторизованный пользователь не может перевести валидную сумму на несуществующий счет","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferFundsIntoNonExistingAccountTest"
"","9619","API. Авторизованный пользователь не может изменить имя в профиле на невалидное [3] updateUserDto=UpdateUserRequestDto(name=Mikhail Nepomnyaschikh1)","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidName"
"","11392","API. Авторизованный пользователь может создать аккаунт","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateAccountTest","api.iteration_1.CreateAccountTest","authorizedUserCanCreateAccountTest"
"","10098","API. Авторизованный пользователь не может изменить имя в профиле на невалидное [4] updateUserDto=UpdateUserRequestDto(name=Mikhail! Nepomnyaschikh)","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","authorizedUserCannotSetInvalidName"
"","6962","API. Неавторизованный пользователь не может изменить имя в профиле","","2026-08-06","passed","2026-08-06","","api.iteration_2.UpdateCustomerProfileTest","api.iteration_2.UpdateCustomerProfileTest","unauthorizedUserCannotChangeName"
"","22693","UI. Пользователь не может выполнить перевод без подтверждения данных","","2026-08-06","passed","2026-08-06","","ui.iteration_2.TransferFundsTest","ui.iteration_2.TransferFundsTest","userCannotTransferFundsWithoutConfirmTest"
"","11429","API. Неавторизованный пользователь не может создать аккаунт","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateAccountTest","api.iteration_1.CreateAccountTest","unauthorizedUserCannotCreateAccountTest"
"","15032","API. Авторизованный пользователь не может перевести невалидную сумму на счет другого пользователя [3] transferAmount=-0.01, errorMessage=Transfer amount must be at least 0.01","","2026-08-06","passed","2026-08-06","","api.iteration_2.TransferFundsTest","api.iteration_2.TransferFundsTest","authorizedUserCannotTransferInvalidAmountToAnotherUserAccountTest"
"","2242","API. Администратор не может создать пользователя с невалидными данными [6] userDto=CreateUserRequestDto(username=testX2p, password=pass$1R, role=USER), errorKey=password, errorValues=[Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
"","9681","API. Неавторизованный пользователь не может пополнить счет","","2026-08-06","passed","2026-08-06","","api.iteration_2.DepositAccountTest","api.iteration_2.DepositAccountTest","unauthorizedUserCannotDepositAccountTest"
"","13026","API. Администратор не может создать пользователя с невалидными данными [1] userDto=CreateUserRequestDto(username=   , password=test$X2p, role=USER), errorKey=username, errorValues=[Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","2026-08-06","passed","2026-08-06","","api.iteration_1.CreateUserTest","api.iteration_1.CreateUserTest","adminCannotCreateUserWithInvalidDataTest"
